region	step	susceptible	infectious	recovered
A	0	1942.0	0.0	0.0
A	144	1942.0	0.0	0.0
A	288	1942.0	0.0	0.0
A	432	1942.0	0.0	0.0
A	576	1942.0	0.0	0.0
A	720	1942.0	0.0	0.0
A	864	1942.0	0.0	0.0
A	1008	1942.0	0.0	0.0
A	1152	1941.0	1.0	0.0
A	1296	1941.0	1.0	0.0
A	1440	1941.0	1.0	0.0
A	1584	1941.0	1.0	0.0
A	1728	1941.0	1.0	0.0
A	1872	1941.0	1.0	0.0
A	2016	1940.0	2.0	0.0
A	2160	1939.0	3.0	0.0
A	2304	1937.0	5.0	0.0
A	2448	1937.0	5.0	0.0
A	2592	1935.0	7.0	0.0
A	2736	1935.0	7.0	0.0
A	2880	1934.0	8.0	0.0
A	3024	1933.0	8.0	1.0
A	3168	1931.0	10.0	1.0
A	3312	1929.0	12.0	1.0
A	3456	1927.0	14.0	1.0
A	3600	1927.0	14.0	1.0
A	3744	1926.0	14.0	2.0
A	3888	1923.0	17.0	2.0
A	4032	1921.0	19.0	2.0
A	4176	1921.0	18.0	3.0
A	4320	1920.0	18.0	4.0
A	4464	1919.0	17.0	6.0
A	4608	1917.0	19.0	6.0
A	4752	1916.0	18.0	8.0
A	4896	1914.0	16.0	12.0
A	5040	1913.0	16.0	13.0
A	5184	1907.0	22.0	13.0
A	5328	1903.0	25.0	14.0
A	5472	1902.0	24.0	16.0
A	5616	1902.0	24.0	16.0
A	5760	1896.0	29.0	17.0
A	5904	1894.0	31.0	17.0
A	6048	1891.0	34.0	17.0
A	6192	1888.0	35.0	19.0
A	6336	1885.0	36.0	21.0
A	6480	1881.0	38.0	23.0
A	6624	1879.0	38.0	25.0
A	6768	1877.0	36.0	29.0
A	6912	1875.0	35.0	32.0
A	7056	1870.0	37.0	35.0
A	7200	1866.0	38.0	38.0
A	7344	1863.0	41.0	38.0
A	7488	1862.0	40.0	40.0
A	7632	1859.0	40.0	43.0
A	7776	1857.0	37.0	48.0
A	7920	1856.0	35.0	51.0
A	8064	1853.0	38.0	51.0
A	8208	1852.0	36.0	54.0
A	8352	1849.0	34.0	59.0
A	8496	1849.0	32.0	61.0
A	8640	1848.0	30.0	64.0
A	8784	1845.0	31.0	66.0
A	8928	1845.0	31.0	66.0
A	9072	1844.0	31.0	67.0
A	9216	1844.0	28.0	70.0
A	9360	1843.0	23.0	76.0
A	9504	1843.0	21.0	78.0
A	9648	1841.0	23.0	78.0
A	9792	1841.0	17.0	84.0
A	9936	1840.0	16.0	86.0
A	10080	1839.0	17.0	86.0
A	10224	1839.0	13.0	90.0
A	10368	1838.0	10.0	94.0
A	10512	1837.0	10.0	95.0
A	10656	1837.0	10.0	95.0
A	10800	1837.0	10.0	95.0
A	10944	1837.0	9.0	96.0
A	11088	1837.0	7.0	98.0
A	11232	1836.0	8.0	98.0
A	11376	1835.0	9.0	98.0
A	11520	1835.0	7.0	100.0
A	11664	1835.0	6.0	101.0
A	11808	1834.0	7.0	101.0
A	11952	1834.0	6.0	102.0
A	12096	1834.0	5.0	103.0
A	12240	1834.0	4.0	104.0
A	12384	1834.0	4.0	104.0
A	12528	1834.0	4.0	104.0
A	12672	1834.0	4.0	104.0
A	12816	1834.0	3.0	105.0
A	12960	1834.0	3.0	105.0
A	13104	1834.0	3.0	105.0
A	13248	1834.0	1.0	107.0
A	13392	1834.0	1.0	107.0
A	13536	1834.0	0.0	108.0
A	13680	1834.0	0.0	108.0
A	13824	1834.0	0.0	108.0
A	13968	1834.0	0.0	108.0
A	14112	1834.0	0.0	108.0
A	14256	1834.0	0.0	108.0
A	14400	1833.0	1.0	108.0
A	14544	1833.0	1.0	108.0
A	14688	1833.0	1.0	108.0
A	14832	1833.0	1.0	108.0
A	14976	1833.0	1.0	108.0
A	15120	1833.0	1.0	108.0
A	15264	1833.0	1.0	108.0
A	15408	1833.0	1.0	108.0
A	15552	1833.0	1.0	108.0
A	15696	1833.0	1.0	108.0
A	15840	1833.0	1.0	108.0
A	15984	1833.0	0.0	109.0
A	16128	1833.0	0.0	109.0
A	16272	1833.0	0.0	109.0
A	16416	1833.0	0.0	109.0
A	16560	1833.0	0.0	109.0
A	16704	1833.0	0.0	109.0
A	16848	1833.0	0.0	109.0
A	16992	1833.0	0.0	109.0
A	17136	1833.0	0.0	109.0
A	17280	1833.0	0.0	109.0
B	0	1942.0	0.0	0.0
B	144	1942.0	0.0	0.0
B	288	1942.0	0.0	0.0
B	432	1942.0	0.0	0.0
B	576	1942.0	0.0	0.0
B	720	1942.0	0.0	0.0
B	864	1942.0	0.0	0.0
B	1008	1942.0	0.0	0.0
B	1152	1942.0	0.0	0.0
B	1296	1942.0	0.0	0.0
B	1440	1941.0	1.0	0.0
B	1584	1941.0	1.0	0.0
B	1728	1941.0	1.0	0.0
B	1872	1941.0	1.0	0.0
B	2016	1940.0	2.0	0.0
B	2160	1939.0	3.0	0.0
B	2304	1939.0	3.0	0.0
B	2448	1938.0	4.0	0.0
B	2592	1938.0	4.0	0.0
B	2736	1938.0	4.0	0.0
B	2880	1937.0	5.0	0.0
B	3024	1935.0	7.0	0.0
B	3168	1934.0	8.0	0.0
B	3312	1931.0	11.0	0.0
B	3456	1931.0	10.0	1.0
B	3600	1930.0	11.0	1.0
B	3744	1927.0	14.0	1.0
B	3888	1924.0	16.0	2.0
B	4032	1923.0	16.0	3.0
B	4176	1923.0	16.0	3.0
B	4320	1921.0	18.0	3.0
B	4464	1921.0	17.0	4.0
B	4608	1921.0	17.0	4.0
B	4752	1921.0	15.0	6.0
B	4896	1917.0	19.0	6.0
B	5040	1916.0	19.0	7.0
B	5184	1915.0	18.0	9.0
B	5328	1914.0	18.0	10.0
B	5472	1913.0	19.0	10.0
B	5616	1910.0	22.0	10.0
B	5760	1908.0	22.0	12.0
B	5904	1908.0	18.0	16.0
B	6048	1907.0	16.0	19.0
B	6192	1906.0	16.0	20.0
B	6336	1906.0	15.0	21.0
B	6480	1905.0	16.0	21.0
B	6624	1901.0	18.0	23.0
B	6768	1901.0	18.0	23.0
B	6912	1900.0	18.0	24.0
B	7056	1898.0	19.0	25.0
B	7200	1898.0	17.0	27.0
B	7344	1897.0	16.0	29.0
B	7488	1895.0	17.0	30.0
B	7632	1895.0	15.0	32.0
B	7776	1894.0	13.0	35.0
B	7920	1893.0	14.0	35.0
B	8064	1893.0	14.0	35.0
B	8208	1893.0	13.0	36.0
B	8352	1893.0	12.0	37.0
B	8496	1893.0	9.0	40.0
B	8640	1893.0	8.0	41.0
B	8784	1893.0	7.0	42.0
B	8928	1893.0	5.0	44.0
B	9072	1893.0	5.0	44.0
B	9216	1892.0	5.0	45.0
B	9360	1890.0	7.0	45.0
B	9504	1888.0	9.0	45.0
B	9648	1888.0	8.0	46.0
B	9792	1888.0	6.0	48.0
B	9936	1888.0	6.0	48.0
B	10080	1888.0	6.0	48.0
B	10224	1888.0	5.0	49.0
B	10368	1888.0	5.0	49.0
B	10512	1888.0	5.0	49.0
B	10656	1886.0	7.0	49.0
B	10800	1885.0	8.0	49.0
B	10944	1885.0	7.0	50.0
B	11088	1885.0	7.0	50.0
B	11232	1884.0	7.0	51.0
B	11376	1884.0	7.0	51.0
B	11520	1884.0	7.0	51.0
B	11664	1884.0	6.0	52.0
B	11808	1884.0	4.0	54.0
B	11952	1883.0	5.0	54.0
B	12096	1883.0	5.0	54.0
B	12240	1883.0	5.0	54.0
B	12384	1883.0	5.0	54.0
B	12528	1882.0	6.0	54.0
B	12672	1882.0	4.0	56.0
B	12816	1882.0	4.0	56.0
B	12960	1882.0	4.0	56.0
B	13104	1882.0	3.0	57.0
B	13248	1882.0	3.0	57.0
B	13392	1882.0	3.0	57.0
B	13536	1882.0	2.0	58.0
B	13680	1882.0	2.0	58.0
B	13824	1882.0	1.0	59.0
B	13968	1882.0	1.0	59.0
B	14112	1882.0	1.0	59.0
B	14256	1882.0	1.0	59.0
B	14400	1882.0	1.0	59.0
B	14544	1882.0	1.0	59.0
B	14688	1882.0	1.0	59.0
B	14832	1882.0	0.0	60.0
B	14976	1882.0	0.0	60.0
B	15120	1882.0	0.0	60.0
B	15264	1882.0	0.0	60.0
B	15408	1882.0	0.0	60.0
B	15552	1882.0	0.0	60.0
B	15696	1882.0	0.0	60.0
B	15840	1882.0	0.0	60.0
B	15984	1882.0	0.0	60.0
B	16128	1882.0	0.0	60.0
B	16272	1882.0	0.0	60.0
B	16416	1882.0	0.0	60.0
B	16560	1882.0	0.0	60.0
B	16704	1882.0	0.0	60.0
B	16848	1882.0	0.0	60.0
B	16992	1882.0	0.0	60.0
B	17136	1882.0	0.0	60.0
B	17280	1882.0	0.0	60.0
C	0	1942.0	0.0	0.0
C	144	1942.0	0.0	0.0
C	288	1942.0	0.0	0.0
C	432	1942.0	0.0	0.0
C	576	1942.0	0.0	0.0
C	720	1942.0	0.0	0.0
C	864	1942.0	0.0	0.0
C	1008	1942.0	0.0	0.0
C	1152	1942.0	0.0	0.0
C	1296	1941.0	1.0	0.0
C	1440	1940.0	2.0	0.0
C	1584	1939.0	3.0	0.0
C	1728	1939.0	3.0	0.0
C	1872	1939.0	3.0	0.0
C	2016	1939.0	3.0	0.0
C	2160	1937.0	5.0	0.0
C	2304	1937.0	5.0	0.0
C	2448	1935.0	7.0	0.0
C	2592	1933.0	9.0	0.0
C	2736	1932.0	10.0	0.0
C	2880	1932.0	10.0	0.0
C	3024	1929.0	13.0	0.0
C	3168	1928.0	14.0	0.0
C	3312	1925.0	17.0	0.0
C	3456	1922.0	19.0	1.0
C	3600	1922.0	19.0	1.0
C	3744	1920.0	18.0	4.0
C	3888	1919.0	19.0	4.0
C	4032	1918.0	20.0	4.0
C	4176	1916.0	21.0	5.0
C	4320	1914.0	22.0	6.0
C	4464	1913.0	23.0	6.0
C	4608	1913.0	21.0	8.0
C	4752	1910.0	23.0	9.0
C	4896	1906.0	26.0	10.0
C	5040	1904.0	25.0	13.0
C	5184	1903.0	22.0	17.0
C	5328	1902.0	22.0	18.0
C	5472	1900.0	24.0	18.0
C	5616	1895.0	28.0	19.0
C	5760	1894.0	27.0	21.0
C	5904	1892.0	27.0	23.0
C	6048	1887.0	32.0	23.0
C	6192	1883.0	36.0	23.0
C	6336	1880.0	35.0	27.0
C	6480	1879.0	31.0	32.0
C	6624	1875.0	34.0	33.0
C	6768	1874.0	33.0	35.0
C	6912	1873.0	33.0	36.0
C	7056	1866.0	38.0	38.0
C	7200	1863.0	38.0	41.0
C	7344	1863.0	37.0	42.0
C	7488	1861.0	38.0	43.0
C	7632	1861.0	34.0	47.0
C	7776	1861.0	34.0	47.0
C	7920	1860.0	34.0	48.0
C	8064	1857.0	34.0	51.0
C	8208	1856.0	32.0	54.0
C	8352	1854.0	27.0	61.0
C	8496	1854.0	22.0	66.0
C	8640	1853.0	21.0	68.0
C	8784	1852.0	21.0	69.0
C	8928	1850.0	23.0	69.0
C	9072	1850.0	23.0	69.0
C	9216	1848.0	20.0	74.0
C	9360	1846.0	19.0	77.0
C	9504	1846.0	18.0	78.0
C	9648	1845.0	17.0	80.0
C	9792	1845.0	17.0	80.0
C	9936	1845.0	15.0	82.0
C	10080	1845.0	14.0	83.0
C	10224	1845.0	12.0	85.0
C	10368	1845.0	11.0	86.0
C	10512	1845.0	8.0	89.0
C	10656	1845.0	6.0	91.0
C	10800	1845.0	5.0	92.0
C	10944	1844.0	6.0	92.0
C	11088	1842.0	7.0	93.0
C	11232	1842.0	5.0	95.0
C	11376	1842.0	4.0	96.0
C	11520	1842.0	3.0	97.0
C	11664	1842.0	3.0	97.0
C	11808	1842.0	3.0	97.0
C	11952	1842.0	3.0	97.0
C	12096	1842.0	3.0	97.0
C	12240	1842.0	3.0	97.0
C	12384	1842.0	3.0	97.0
C	12528	1842.0	3.0	97.0
C	12672	1842.0	3.0	97.0
C	12816	1842.0	3.0	97.0
C	12960	1842.0	1.0	99.0
C	13104	1841.0	2.0	99.0
C	13248	1841.0	2.0	99.0
C	13392	1841.0	2.0	99.0
C	13536	1841.0	2.0	99.0
C	13680	1841.0	1.0	100.0
C	13824	1841.0	1.0	100.0
C	13968	1841.0	1.0	100.0
C	14112	1841.0	1.0	100.0
C	14256	1840.0	2.0	100.0
C	14400	1840.0	2.0	100.0
C	14544	1840.0	1.0	101.0
C	14688	1840.0	1.0	101.0
C	14832	1840.0	1.0	101.0
C	14976	1840.0	1.0	101.0
C	15120	1840.0	1.0	101.0
C	15264	1840.0	1.0	101.0
C	15408	1840.0	1.0	101.0
C	15552	1840.0	1.0	101.0
C	15696	1840.0	1.0	101.0
C	15840	1840.0	1.0	101.0
C	15984	1840.0	1.0	101.0
C	16128	1840.0	1.0	101.0
C	16272	1840.0	1.0	101.0
C	16416	1840.0	1.0	101.0
C	16560	1840.0	1.0	101.0
C	16704	1840.0	0.0	102.0
C	16848	1840.0	0.0	102.0
C	16992	1840.0	0.0	102.0
C	17136	1840.0	0.0	102.0
C	17280	1840.0	0.0	102.0
D	0	1942.0	0.0	0.0
D	144	1942.0	0.0	0.0
D	288	1942.0	0.0	0.0
D	432	1942.0	0.0	0.0
D	576	1942.0	0.0	0.0
D	720	1942.0	0.0	0.0
D	864	1942.0	0.0	0.0
D	1008	1942.0	0.0	0.0
D	1152	1942.0	0.0	0.0
D	1296	1942.0	0.0	0.0
D	1440	1942.0	0.0	0.0
D	1584	1942.0	0.0	0.0
D	1728	1942.0	0.0	0.0
D	1872	1940.0	2.0	0.0
D	2016	1940.0	2.0	0.0
D	2160	1940.0	2.0	0.0
D	2304	1940.0	2.0	0.0
D	2448	1940.0	2.0	0.0
D	2592	1940.0	2.0	0.0
D	2736	1938.0	4.0	0.0
D	2880	1937.0	5.0	0.0
D	3024	1936.0	6.0	0.0
D	3168	1933.0	9.0	0.0
D	3312	1932.0	10.0	0.0
D	3456	1931.0	11.0	0.0
D	3600	1930.0	12.0	0.0
D	3744	1927.0	15.0	0.0
D	3888	1923.0	19.0	0.0
D	4032	1922.0	19.0	1.0
D	4176	1921.0	19.0	2.0
D	4320	1920.0	19.0	3.0
D	4464	1919.0	20.0	3.0
D	4608	1914.0	24.0	4.0
D	4752	1913.0	25.0	4.0
D	4896	1911.0	27.0	4.0
D	5040	1910.0	24.0	8.0
D	5184	1907.0	25.0	10.0
D	5328	1906.0	26.0	10.0
D	5472	1905.0	26.0	11.0
D	5616	1904.0	25.0	13.0
D	5760	1902.0	26.0	14.0
D	5904	1900.0	23.0	19.0
D	6048	1900.0	22.0	20.0
D	6192	1898.0	24.0	20.0
D	6336	1897.0	20.0	25.0
D	6480	1895.0	22.0	25.0
D	6624	1893.0	24.0	25.0
D	6768	1892.0	21.0	29.0
D	6912	1892.0	20.0	30.0
D	7056	1891.0	21.0	30.0
D	7200	1889.0	19.0	34.0
D	7344	1889.0	17.0	36.0
D	7488	1887.0	19.0	36.0
D	7632	1887.0	18.0	37.0
D	7776	1886.0	18.0	38.0
D	7920	1886.0	17.0	39.0
D	8064	1885.0	15.0	42.0
D	8208	1885.0	12.0	45.0
D	8352	1882.0	14.0	46.0
D	8496	1882.0	13.0	47.0
D	8640	1881.0	13.0	48.0
D	8784	1881.0	13.0	48.0
D	8928	1880.0	13.0	49.0
D	9072	1880.0	11.0	51.0
D	9216	1879.0	11.0	52.0
D	9360	1877.0	11.0	54.0
D	9504	1875.0	13.0	54.0
D	9648	1875.0	12.0	55.0
D	9792	1874.0	13.0	55.0
D	9936	1874.0	13.0	55.0
D	10080	1874.0	11.0	57.0
D	10224	1874.0	11.0	57.0
D	10368	1873.0	9.0	60.0
D	10512	1873.0	9.0	60.0
D	10656	1873.0	7.0	62.0
D	10800	1873.0	7.0	62.0
D	10944	1872.0	7.0	63.0
D	11088	1872.0	6.0	64.0
D	11232	1872.0	5.0	65.0
D	11376	1872.0	4.0	66.0
D	11520	1872.0	4.0	66.0
D	11664	1872.0	3.0	67.0
D	11808	1872.0	3.0	67.0
D	11952	1872.0	2.0	68.0
D	12096	1872.0	2.0	68.0
D	12240	1871.0	3.0	68.0
D	12384	1871.0	2.0	69.0
D	12528	1871.0	2.0	69.0
D	12672	1871.0	2.0	69.0
D	12816	1871.0	2.0	69.0
D	12960	1871.0	1.0	70.0
D	13104	1871.0	1.0	70.0
D	13248	1871.0	1.0	70.0
D	13392	1871.0	1.0	70.0
D	13536	1871.0	1.0	70.0
D	13680	1871.0	0.0	71.0
D	13824	1871.0	0.0	71.0
D	13968	1871.0	0.0	71.0
D	14112	1871.0	0.0	71.0
D	14256	1871.0	0.0	71.0
D	14400	1871.0	0.0	71.0
D	14544	1871.0	0.0	71.0
