agentId	originRegionId	isMale	educationLevel	isHispanic	race	indiv_census_income	hh_census_income	householdInProvince	reportingRate	reportingRates_Single	family:numberOfPeople	family:haveKids	interest	joviality	jovialityBase	foodNeed:fullnessReachTimeInMinutes	foodNeed:keepingFullTimeInMinutes	foodNeed:hungryTreshold	foodNeed:starvingTreshold	foodNeed:appetite	
0	1	true	HighSchoolOrCollege	false	BlackOnly	132677	118719	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	3	true	G	0.9295593144737541	0.0	48.141886558938694	156.2837731178774	37.90540896070754	0.0	0.3952704480353769	
1	1	false	Bachelors	false	WhiteOnly	35223	3503	true	0.8239978151504338	[0.8,0.8,0.8,0.3,0.3]	3	true	D	0.6035231328839683	0.0	37.69919874820766	135.39839749641533	44.867200834528234	0.0	0.7433600417264115	
2	1	false	Graduate	false	Plus2Races	239336	81198	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	J	0.9612141157625396	0.0	49.78362973394391	159.56725946788782	36.81091351070406	0.0	0.340545675535203	
3	1	true	HighSchoolOrCollege	false	WhiteOnly	126517	250105	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	F	0.041430454080396695	0.0	47.98114901707608	155.96229803415216	38.01256732194928	0.0	0.400628366097464	
4	1	false	Bachelors	false	WhiteOnly	121669	981267	true	0.7640915534102196	[0.3,0.8,0.8,0.8,0.3]	3	true	G	0.3432490268110966	0.0	46.02382004720691	152.04764009441382	39.31745330186206	0.0	0.46587266509310293	
5	1	false	Low	false	BlackOnly	321565	184605	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	3	true	C	0.8855008004280311	0.0	41.421389103759026	142.84277820751805	42.385740597493985	0.0	0.6192870298746993	
6	1	false	Graduate	false	BlackOnly	390151	652286	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	A	0.8388145092613299	0.0	48.371939200529006	156.743878401058	37.752040532980665	0.0	0.3876020266490332	
7	1	false	Bachelors	false	BlackOnly	493862	282141	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	D	0.719294671431704	0.0	51.41377744991371	162.82755489982742	35.724148366724194	0.0	0.2862074183362097	
8	1	false	Low	false	BlackOnly	92478	312913	true	0.9181492193647616	[0.3,0.8,0.3,0.8,0.8]	3	true	H	0.9086747885186899	0.0	49.978182420689585	159.95636484137916	36.68121171954028	0.0	0.3340605859770139	
9	1	true	HighSchoolOrCollege	false	WhiteOnly	335941	58098	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	A	0.4404417069602916	0.0	49.5	159.0	37.0	0.0	0.35	
