step	agentId	[regionId,diseaseStatus,diseaseSeq,time,location,checkin,Reported,Sampled,Sequenced]
0	0	[1,Susceptible,,,,,false,false,false]	
0	1	[1,Susceptible,,,,,false,false,false]	
0	2	[1,Susceptible,,,,,false,false,false]	
0	3	[1,Infectious,3-1,2019-07-01T00:00:00.000,POINT (743567.264467578 3739443.3606160413),AtHome,false,false,false]	
0	4	[1,Susceptible,,,,,false,false,false]	
0	5	[1,Susceptible,,,,,false,false,false]	
0	6	[1,Susceptible,,,,,false,false,false]	
0	7	[1,Susceptible,,,,,false,false,false]	
0	8	[1,Susceptible,,,,,false,false,false]	
0	9	[1,Susceptible,,,,,false,false,false]	
0	10	[1,Susceptible,,,,,false,false,false]	
0	11	[1,Susceptible,,,,,false,false,false]	
0	12	[1,Susceptible,,,,,false,false,false]	
0	13	[1,Susceptible,,,,,false,false,false]	
0	14	[1,Susceptible,,,,,false,false,false]	
0	15	[1,Susceptible,,,,,false,false,false]	
0	16	[1,Susceptible,,,,,false,false,false]	
0	17	[1,Susceptible,,,,,false,false,false]	
0	18	[1,Susceptible,,,,,false,false,false]	
0	19	[1,Susceptible,,,,,false,false,false]	
0	20	[1,Susceptible,,,,,false,false,false]	
0	21	[1,Susceptible,,,,,false,false,false]	
0	22	[1,Susceptible,,,,,false,false,false]	
0	23	[1,Susceptible,,,,,false,false,false]	
0	24	[1,Susceptible,,,,,false,false,false]	
0	25	[1,Susceptible,,,,,false,false,false]	
0	26	[1,Susceptible,,,,,false,false,false]	
0	27	[1,Susceptible,,,,,false,false,false]	
0	28	[1,Susceptible,,,,,false,false,false]	
0	29	[1,Susceptible,,,,,false,false,false]	
0	30	[1,Susceptible,,,,,false,false,false]	
0	31	[1,Susceptible,,,,,false,false,false]	
0	32	[1,Susceptible,,,,,false,false,false]	
0	33	[1,Susceptible,,,,,false,false,false]	
0	34	[1,Susceptible,,,,,false,false,false]	
0	35	[1,Susceptible,,,,,false,false,false]	
0	36	[1,Susceptible,,,,,false,false,false]	
0	37	[1,Susceptible,,,,,false,false,false]	
0	38	[1,Susceptible,,,,,false,false,false]	
0	39	[1,Susceptible,,,,,false,false,false]	
0	40	[1,Susceptible,,,,,false,false,false]	
0	41	[1,Susceptible,,,,,false,false,false]	
0	42	[1,Susceptible,,,,,false,false,false]	
0	43	[1,Susceptible,,,,,false,false,false]	
0	44	[1,Susceptible,,,,,false,false,false]	
0	45	[1,Susceptible,,,,,false,false,false]	
0	46	[1,Susceptible,,,,,false,false,false]	
0	47	[1,Susceptible,,,,,false,false,false]	
0	48	[1,Susceptible,,,,,false,false,false]	
0	49	[1,Susceptible,,,,,false,false,false]	
0	50	[1,Susceptible,,,,,false,false,false]	
0	51	[1,Susceptible,,,,,false,false,false]	
0	52	[1,Susceptible,,,,,false,false,false]	
0	53	[1,Susceptible,,,,,false,false,false]	
0	54	[1,Susceptible,,,,,false,false,false]	
0	55	[1,Susceptible,,,,,false,false,false]	
0	56	[1,Susceptible,,,,,false,false,false]	
0	57	[1,Susceptible,,,,,false,false,false]	
0	58	[1,Susceptible,,,,,false,false,false]	
0	59	[1,Susceptible,,,,,false,false,false]	
0	60	[1,Susceptible,,,,,false,false,false]	
0	61	[1,Susceptible,,,,,false,false,false]	
0	62	[1,Susceptible,,,,,false,false,false]	
0	63	[1,Susceptible,,,,,false,false,false]	
0	64	[1,Susceptible,,,,,false,false,false]	
0	65	[1,Susceptible,,,,,false,false,false]	
0	66	[1,Susceptible,,,,,false,false,false]	
0	67	[1,Susceptible,,,,,false,false,false]	
