step,agentId,regionId,diseaseStatus,byAgentID,time,location,checkin,Report(Component),Report(Single)
2882,70,1,Infectious,140,2019-07-11T00:10:00.000,POINT (743681.4545237785 3738860.295160902),AtHome,TRUE,Gender/Income
2882,2606,15,Infectious,4650,2019-07-11T00:10:00.000,POINT (740188.8133798728 3737944.3720801845),AtHome,TRUE,Gender
2882,3519,19,Infectious,4113,2019-07-11T00:10:00.000,POINT (742469.1909410805 3736329.6521653645),AtHome,TRUE,Income/Race
2882,3883,21,Infectious,3948,2019-07-11T00:10:00.000,POINT (742946.555347992 3735623.819260712),AtHome,TRUE,Age
2883,741,4,Infectious,1651,2019-07-11T00:15:00.000,POINT (742012.4614860577 3739136.469246593),AtHome,TRUE,Income/Race
2883,3369,19,Exposed,4163,2019-07-11T00:15:00.000,POINT (742323.9276850643 3735458.637488046),AtRecreation,FALSE,
2883,4781,27,Exposed,3125,2019-07-11T00:15:00.000,POINT (740469.8281003147 3736895.5083319084),AtRecreation,FALSE,
2884,1881,10,Infectious,1895,2019-07-11T00:20:00.000,POINT (743580.1219052173 3738296.2527374364),AtHome,TRUE,Gender/Income/Race
2885,803,5,Recovered,,2019-07-11T00:25:00.000,POINT (741088.2437224647 3738952.934499414),AtHome,FALSE,
2885,2027,11,Infectious,3898,2019-07-11T00:25:00.000,POINT (743983.7337502375 3737540.2854971467),AtHome,FALSE,Gender/Race
2886,2055,11,Infectious,186,2019-07-11T00:30:00.000,POINT (743873.0432388507 3737546.7731744163),AtHome,TRUE,Gender/Income
2886,3256,18,Infectious,256,2019-07-11T00:30:00.000,POINT (742182.4693038027 3737006.099888637),AtHome,TRUE,Age/Gender/Income/Race
2886,4939,27,Infectious,3154,2019-07-11T00:30:00.000,POINT (741753.7468802147 3735444.8378557824),AtHome,TRUE,Age/Gender/Race
2887,2125,11,Recovered,,2019-07-11T00:35:00.000,POINT (743972.9338315736 3737568.72390679),AtHome,FALSE,
2887,4268,22,Infectious,3924,2019-07-11T00:35:00.000,POINT (742316.6973590812 3735897.489016503),AtHome,TRUE,Race
2887,4417,24,Recovered,,2019-07-11T00:35:00.000,POINT (739759.1339064335 3735211.39803944),AtHome,FALSE,
2888,120,1,Infectious,1815,2019-07-11T00:40:00.000,POINT (743639.0338083794 3739238.6618745835),AtHome,FALSE,Race
2889,1875,10,Infectious,161,2019-07-11T00:45:00.000,POINT (743656.3214358608 3738044.2801295356),AtHome,TRUE,Income
2889,4094,22,Infectious,4409,2019-07-11T00:45:00.000,POINT (742727.2893052124 3735769.946467968),AtHome,TRUE,Age/Race
2890,3671,20,Infectious,2005,2019-07-11T00:50:00.000,POINT (744018.2213388185 3737065.969309806),AtHome,TRUE,Gender/Income/Race
2890,3997,21,Infectious,3630,2019-07-11T00:50:00.000,POINT (743181.6527979856 3735450.268378577),AtHome,TRUE,Age/Gender
2891,2984,16,Infectious,2665,2019-07-11T00:55:00.000,POINT (740276.1423996061 3736824.2960839164),AtHome,FALSE,Age/Gender
2891,3413,19,Infectious,3514,2019-07-11T00:55:00.000,POINT (743015.991572067 3737092.466806164),AtHome,TRUE,Income/Race
2892,560,3,Infectious,1330,2019-07-11T01:00:00.000,POINT (742939.5033408109 3739253.4119094326),AtHome,TRUE,Income
2892,1507,8,Infectious,4408,2019-07-11T01:00:00.000,POINT (743165.4551925922 3738764.5655439203),AtHome,TRUE,Gender/Race
2892,3259,18,Infectious,2166,2019-07-11T01:00:00.000,POINT (742540.6142538582 3737093.3938875124),AtHome,TRUE,
2892,4899,27,Infectious,4478,2019-07-11T01:00:00.000,POINT (741402.0534851819 3735923.938417779),AtHome,TRUE,Age/Gender/Income/Race
2893,391,2,Infectious,1516,2019-07-11T01:05:00.000,POINT (743800.5666246883 3738966.112844375),AtHome,TRUE,Gender
2893,2555,13,Infectious,611,2019-07-11T01:05:00.000,POINT (740648.379854913 3737676.1641588337),AtHome,TRUE,Income/Race
2894,1475,8,Infectious,1433,2019-07-11T01:10:00.000,POINT (742510.8143767843 3738640.4233820075),AtHome,TRUE,
2895,660,4,Infectious,4658,2019-07-11T01:15:00.000,POINT (742181.5840482495 3739633.892695015),AtHome,TRUE,Income/Race
2895,2737,15,Infectious,1074,2019-07-11T01:15:00.000,POINT (739530.8210277668 3737863.4142818414),AtHome,TRUE,Race
2896,3565,20,Recovered,,2019-07-11T01:20:00.000,POINT (743977.5351814991 3737131.5131926355),AtHome,FALSE,
2897,121,1,Recovered,,2019-07-11T01:25:00.000,POINT (743761.4330480609 3738915.3520782706),AtHome,FALSE,
2897,3153,17,Infectious,3154,2019-07-11T01:25:00.000,POINT (740857.2840597141 3735931.755006203),AtHome,FALSE,Gender/Income/Race
2899,428,3,Infectious,342,2019-07-11T01:35:00.000,POINT (742946.9201073764 3738915.906190698),AtHome,FALSE,Age/Gender/Income
2899,2134,11,Recovered,,2019-07-11T01:35:00.000,POINT (744365.8451827937 3737544.8909470625),AtHome,FALSE,
2899,3575,20,Recovered,,2019-07-11T01:35:00.000,POINT (744195.9827717121 3736444.5805154284),AtHome,FALSE,
2899,4142,22,Infectious,4965,2019-07-11T01:35:00.000,POINT (742458.5279344027 3735290.8911198312),AtHome,FALSE,Age/Race
2899,4154,22,Infectious,3411,2019-07-11T01:35:00.000,POINT (742538.7743489861 3735497.5997552737),AtHome,TRUE,Gender/Income/Race
2900,1577,9,Infectious,4656,2019-07-11T01:40:00.000,POINT (742881.6290954942 3738160.8227701383),AtHome,TRUE,Gender/Race
2900,3849,21,Infectious,3607,2019-07-11T01:40:00.000,POINT (743147.8168553336 3735621.0140757505),AtHome,TRUE,Age
2901,831,5,Recovered,,2019-07-11T01:45:00.000,POINT (741139.9108867295 3738851.844080024),AtHome,FALSE,
2901,1367,8,Infectious,1495,2019-07-11T01:45:00.000,POINT (743064.9856656946 3738709.3463851567),AtHome,TRUE,
2902,978,6,Infectious,1013,2019-07-11T01:50:00.000,POINT (740059.2284000503 3738411.773516642),AtHome,TRUE,Age/Gender/Race
2902,1384,8,Infectious,593,2019-07-11T01:50:00.000,POINT (743165.4551925922 3738764.5655439203),AtHome,TRUE,Gender/Income
2902,4909,27,Infectious,3150,2019-07-11T01:50:00.000,POINT (741308.6639567055 3736143.8428836567),AtHome,FALSE,
2903,1768,9,Infectious,597,2019-07-11T01:55:00.000,POINT (742433.9374492212 3738597.086036105),AtHome,TRUE,Age/Gender/Race
2903,4352,23,Infectious,4408,2019-07-11T01:55:00.000,POINT (740431.6543808155 3735640.1387055926),AtHome,TRUE,Gender/Income/Race
2904,1767,9,Recovered,,2019-07-11T02:00:00.000,POINT (742334.9373465037 3738791.701741857),AtHome,FALSE,
2904,2178,11,Infectious,2080,2019-07-11T02:00:00.000,POINT (744004.9692404957 3737290.9493139833),AtHome,TRUE,
2904,3144,17,Infectious,4417,2019-07-11T02:00:00.000,POINT (740966.7459687712 3736062.013406115),AtHome,TRUE,Race
2904,3176,17,Infectious,2896,2019-07-11T02:00:00.000,POINT (740764.5697044482 3736876.1111862976),AtHome,FALSE,Age/Gender/Income/Race
2904,3348,19,Infectious,2052,2019-07-11T02:00:00.000,POINT (742327.2601446728 3736328.176333975),AtHome,TRUE,Race
2905,1454,8,Infectious,622,2019-07-11T02:05:00.000,POINT (743125.8476454207 3738777.410700999),AtHome,TRUE,Age/Race
2905,1597,9,Infectious,766,2019-07-11T02:05:00.000,POINT (742598.9942552753 3738203.750245061),AtHome,FALSE,Gender/Income
2905,2790,15,Infectious,2785,2019-07-11T02:05:00.000,POINT (739969.0795999405 3737953.1398774367),AtHome,FALSE,Age/Gender/Income/Race
2906,1053,6,Infectious,1157,2019-07-11T02:10:00.000,POINT (740074.4719343 3738264.2607108615),AtHome,TRUE,Income/Race
2906,1629,9,Recovered,,2019-07-11T02:10:00.000,POINT (742758.1185879767 3738084.669179923),AtHome,FALSE,
2906,3684,20,Infectious,3721,2019-07-11T02:10:00.000,POINT (743626.9604154726 3737019.295192413),AtHome,TRUE,Age/Gender/Race
2906,3841,21,Infectious,3447,2019-07-11T02:10:00.000,POINT (743802.678298374 3735034.0361491833),AtHome,TRUE,Income/Race
2907,2554,13,Infectious,1472,2019-07-11T02:15:00.000,POINT (740900.718093191 3737866.3404162955),AtHome,TRUE,Gender/Income/Race
