agentId	originRegionId	isMale	educationLevel	isHispanic	race	indiv_census_income	hh_census_income	householdInProvince	reportingRate	reportingRates_Single	family:numberOfPeople	family:haveKids	interest	joviality	jovialityBase	foodNeed:fullnessReachTimeInMinutes	foodNeed:keepingFullTimeInMinutes	foodNeed:hungryTreshold	foodNeed:starvingTreshold	foodNeed:appetite	
0	1	true	Low	false	AsianOnly	57677	58719	true	0.8765234960785928	[0.8,0.5,0.3,0.3,0.8]	3	true	F	0.6294075472144051	0.0	44.29110502847507	148.58221005695015	40.47259664768329	0.0	0.5236298323841643	
1	1	false	Low	true	WhiteOnly	20223	13503	true	0.8239978151504338	[0.8,0.8,0.3,0.3,0.3]	3	true	C	0.27518565388206373	0.0	44.043727458089336	148.08745491617867	40.63751502794044	0.0	0.531875751397022	
2	1	false	Bachelors	false	Plus2Races	239336	31198	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	J	0.28276208900311794	0.0	42.03166978096211	144.06333956192424	41.978886812691925	0.0	0.5989443406345962	
3	1	true	Low	false	WhiteOnly	51517	100105	true	0.6720990985064282	[0.8,0.5,0.3,0.3,0.3]	3	true	G	0.18715867756611015	0.0	44.77112436012524	149.54224872025048	40.1525837599165	0.0	0.5076291879958252	
4	1	false	Low	true	AmerIndianOnly	71669	81267	true	0.9181492193647616	[0.3,0.8,0.3,0.8,0.8]	3	true	D	0.6788432652319053	0.0	48.802500818831504	157.605001637663	37.46499945411233	0.0	0.37324997270561644	
5	1	false	Low	false	AsianOnly	71565	64605	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	3	true	A	0.03225876836632657	0.0	47.09398898843067	154.18797797686133	38.60400734104622	0.0	0.430200367052311	
6	1	false	Bachelors	false	Other	65151	102286	true	0.8195081705943794	[0.5,0.8,0.8,0.3,0.8]	3	true	I	0.829729830742925	0.0	37.688751949489365	135.37750389897872	44.874165367007095	0.0	0.7437082683503545	
7	1	false	HighSchoolOrCollege	false	AsianOnly	68862	62141	true	0.9419085518138751	[0.8,0.8,0.3,0.3,0.8]	3	true	E	0.07481500031725352	0.0	42.91570418828163	145.83140837656327	41.38953054114558	0.0	0.569476527057279	
8	1	true	Low	true	AsianOnly	67478	112913	true	0.6653085272175364	[0.3,0.5,0.3,0.3,0.8]	3	true	H	0.7708232043047856	0.0	49.5818058934612	159.16361178692242	36.94546273769253	0.0	0.3472731368846266	
9	1	true	Low	false	WhiteOnly	335941	18098	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	D	0.046820939732100775	0.0	51.854716923877135	163.70943384775427	35.43018871741524	0.0	0.2715094358707622	
10	1	false	Low	false	Other	28315	57860	true	0.9419085518138751	[0.8,0.8,0.3,0.3,0.8]	2	false	G	0.16892615551134738	0.0	42.37148186573175	144.7429637314635	41.752345422845494	0.0	0.5876172711422749	
11	1	false	Low	false	AsianOnly	54362	78560	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	2	false	J	0.10857577395345519	0.0	53.46099796412504	166.92199592825008	34.3593346905833	0.0	0.2179667345291652	
12	1	false	Low	false	Plus2Races	54443	14232	true	0.8195081705943794	[0.3,0.8,0.3,0.3,0.8]	2	false	E	0.9053657628519969	0.0	40.94016311957152	141.88032623914305	42.70655792028565	0.0	0.6353278960142825	
13	1	true	Low	false	AsianOnly	82943	93785	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	2	false	G	0.5746608786542092	0.0	52.48878411450801	164.97756822901601	35.00747725699466	0.0	0.25037386284973295	
14	1	false	Graduate	false	AsianOnly	70389	3847	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	2	false	F	0.6438329576960872	0.0	47.091478371570275	154.18295674314055	38.605681085619814	0.0	0.4302840542809907	
15	1	true	Bachelors	false	WhiteOnly	36782	26477	true	0.36466425585868595	[0.5,0.5,0.8,0.3,0.3]	2	false	A	0.584554146533171	0.0	48.07939367590109	156.15878735180218	37.94707088273261	0.0	0.39735354413663043	
16	1	true	HighSchoolOrCollege	false	AsianOnly	41562	43017	true	0.6653085272175364	[0.3,0.5,0.3,0.3,0.8]	2	false	D	0.2625410857988484	0.0	37.924388544477736	135.84877708895547	44.717074303681514	0.0	0.7358537151840755	
17	1	true	Low	true	BlackOnly	43357	27711	true	0.8765234960785928	[0.8,0.5,0.3,0.3,0.8]	2	false	I	0.29306048277696806	0.0	40.22843464148629	140.45686928297258	43.181043572342475	0.0	0.6590521786171238	
18	1	true	Low	false	AsianOnly	421727	8627	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	2	false	H	0.17177717956428407	0.0	53.03522906918878	166.07045813837755	34.64318062054082	0.0	0.23215903102704072	
19	1	true	Low	true	AsianOnly	60367	115522	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	C	0.9126385347457837	0.0	39.726734978520284	139.45346995704057	43.515510014319815	0.0	0.6757755007159907	
20	1	true	Low	false	WhiteOnly	51497	20154	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	J	0.24377264262802067	0.0	38.18975374352618	136.37950748705236	44.54016417098254	0.0	0.7270082085491272	
21	1	false	Low	false	PacIslandOnly	69098	25361	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	2	false	A	0.2705416350432279	0.0	40.119462741386684	140.23892548277337	43.25369150574221	0.0	0.6626845752871107	
22	1	false	Bachelors	true	WhiteOnly	28077	14277	true	0.5672894400869586	[0.5,0.8,0.8,0.3,0.3]	2	false	G	0.2389297739434353	0.0	47.99204450632487	155.98408901264975	38.00530366245009	0.0	0.4002651831225043	
23	1	false	Graduate	false	AmerIndianOnly	23241	23261	true	0.8195081705943794	[0.5,0.8,0.8,0.3,0.8]	1	false	C	0.531284485701704	0.0	36.353292134588145	132.7065842691763	45.76447191027457	0.0	0.7882235955137287	
24	1	false	HighSchoolOrCollege	false	AsianOnly	74210	41632	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	1	false	J	0.7711961067556591	0.0	51.87333514402164	163.74667028804328	35.417776570652244	0.0	0.27088882853261204	
25	1	true	HighSchoolOrCollege	false	Other	55460	65472	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	1	false	F	0.045377743839361884	0.0	42.570612963128134	145.14122592625625	41.61959135791457	0.0	0.5809795678957288	
26	1	false	Low	true	AsianOnly	38725	124364	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	1	false	I	0.8265002719998674	0.0	49.5	159.0	37.0	0.0	0.35	
27	1	true	Low	true	WhiteOnly	63572	20704	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	1	false	C	0.21334457324444667	0.0	37.945328091103846	135.8906561822077	44.70311460593077	0.0	0.7351557302965386	
28	1	false	Low	false	Other	31056	94083	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	1	false	B	0.48219414272343253	0.0	39.511024488858205	139.0220489777164	43.65931700742786	0.0	0.6829658503713931	
29	1	false	HighSchoolOrCollege	false	WhiteOnly	93308	544	true	0.7640915534102196	[0.5,0.8,0.3,0.8,0.3]	1	false	A	0.9563842548809448	0.0	39.31281979051119	138.62563958102237	43.791453472992536	0.0	0.6895726736496269	
30	1	true	Low	false	WhiteOnly	59704	17464	true	0.36466425585868595	[0.3,0.5,0.3,0.3,0.3]	1	false	C	0.9223559250604395	0.0	37.80653780092436	135.61307560184872	44.79564146605043	0.0	0.7397820733025214	
31	1	true	Bachelors	false	Other	63622	9456	true	0.6653085272175364	[0.5,0.5,0.8,0.3,0.8]	1	false	J	0.3274706536431897	0.0	50.91567986148209	161.83135972296418	36.05621342567861	0.0	0.3028106712839302	
32	1	true	Graduate	true	Other	96953	83181	true	0.8308249267265675	[0.5,0.5,0.8,0.8,0.8]	1	false	G	0.616679703118004	0.0	49.23847670206938	158.47695340413875	37.17434886528708	0.0	0.35871744326435395	
33	1	false	Low	true	WhiteOnly	10971	76708	true	0.5672894400869586	[0.5,0.8,0.3,0.3,0.3]	1	false	I	0.07742850425632863	0.0	41.373408854988966	142.74681770997793	42.41772743000735	0.0	0.6208863715003677	
34	1	true	HighSchoolOrCollege	true	WhiteOnly	64383	21486	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	1	false	H	0.3662250670157976	0.0	37.660396227761865	135.32079245552373	44.89306918149209	0.0	0.7446534590746045	
35	2	true	HighSchoolOrCollege	false	Other	57677	28719	true	0.8765234960785928	[0.8,0.5,0.3,0.3,0.8]	3	true	H	0.6025036893569474	0.0	43.95275689344024	147.90551378688048	40.69816207103984	0.0	0.534908103551992	
36	2	false	HighSchoolOrCollege	true	WhiteOnly	223	13503	true	0.8239978151504338	[0.8,0.8,0.3,0.3,0.3]	3	true	E	0.47302753990743884	0.0	42.177296690538185	144.35459338107637	41.88180220630788	0.0	0.5940901103153939	
37	2	false	HighSchoolOrCollege	false	Plus2Races	239336	11198	true	0.9181492193647616	[0.5,0.8,0.3,0.8,0.8]	3	true	J	0.8694082828727827	0.0	51.782689633314	163.56537926662799	35.478206911124	0.0	0.27391034555620003	
38	2	true	Low	false	WhiteOnly	51517	100105	true	0.6720990985064282	[0.8,0.5,0.3,0.3,0.3]	3	true	G	0.06950005065936404	0.0	44.79400889395604	149.58801778791207	40.13732740402931	0.0	0.5068663702014654	
39	2	true	HighSchoolOrCollege	true	BlackOnly	71669	81267	true	0.8308249267265675	[0.3,0.5,0.3,0.8,0.8]	3	true	F	0.5891047149496579	0.0	39.00254189491848	138.00508378983696	43.998305403387675	0.0	0.6999152701693839	
40	2	false	Low	false	Other	71565	34605	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	3	true	I	0.18301665085226249	0.0	36.4002424513214	132.80048490264278	45.73317169911907	0.0	0.7866585849559534	
41	2	false	Bachelors	false	Other	40151	152286	true	0.8195081705943794	[0.5,0.8,0.8,0.3,0.8]	3	true	A	0.6432927085481156	0.0	36.55756218647104	133.1151243729421	45.628291875685974	0.0	0.7814145937842987	
42	2	false	HighSchoolOrCollege	true	AsianOnly	68862	62141	true	0.9419085518138751	[0.8,0.8,0.3,0.3,0.8]	3	true	H	0.8812604882906161	0.0	43.25550086217673	146.51100172435346	41.16299942521551	0.0	0.5581499712607756	
43	2	true	Low	true	AsianOnly	42478	112913	true	0.6653085272175364	[0.3,0.5,0.3,0.3,0.8]	3	true	G	0.1164174541416848	0.0	49.07284570472381	158.14569140944764	37.28476953018413	0.0	0.3642384765092063	
44	2	true	Low	true	WhiteOnly	335941	18098	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	H	0.25747301172709314	0.0	53.12966654126225	166.2593330825245	34.58022230582516	0.0	0.22901111529125812	
45	2	true	HighSchoolOrCollege	false	Other	23315	57860	true	0.8765234960785928	[0.8,0.5,0.3,0.3,0.8]	3	true	F	0.26546036751395097	0.0	40.998077921314376	141.99615584262875	42.667948052457085	0.0	0.6333974026228542	
46	2	false	HighSchoolOrCollege	false	AsianOnly	24362	48560	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	3	true	G	0.1537885256458068	0.0	52.932799403513606	165.8655988070272	34.71146706432426	0.0	0.23557335321621314	
47	2	false	HighSchoolOrCollege	true	Plus2Races	54443	14232	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	3	true	C	0.10741233163298125	0.0	39.19622569857381	138.39245139714762	43.86918286761746	0.0	0.693459143380873	
48	2	true	HighSchoolOrCollege	false	BlackOnly	82943	33785	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	3	true	A	0.8460303789613955	0.0	48.76309908125255	157.5261981625051	37.491267279164965	0.0	0.3745633639582483	
49	2	false	Graduate	false	Other	70389	3847	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	J	0.8379757379322098	0.0	40.99268111707412	141.98536223414823	42.67154592195059	0.0	0.6335772960975293	
50	2	true	HighSchoolOrCollege	false	WhiteOnly	11782	26477	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	3	true	E	0.5720274947114221	0.0	48.476940959951555	156.9538819199031	37.6820393600323	0.0	0.3841019680016149	
51	2	true	HighSchoolOrCollege	true	AmerIndianOnly	16562	43017	true	0.6653085272175364	[0.3,0.5,0.3,0.3,0.8]	3	true	F	0.9878045946490613	0.0	49.008623945113584	158.01724789022717	37.32758403659094	0.0	0.3663792018295471	
52	2	true	Low	true	BlackOnly	13357	27711	true	0.8765234960785928	[0.8,0.5,0.3,0.3,0.8]	3	true	H	0.9307691988624985	0.0	37.02556973229625	134.0511394645925	45.316286845135835	0.0	0.7658143422567918	
53	2	true	Low	false	AsianOnly	421727	18627	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	3	true	F	0.15618362797517638	0.0	52.29258884868526	164.5851776973705	35.138274100876494	0.0	0.2569137050438246	
54	2	true	HighSchoolOrCollege	true	AsianOnly	35367	75522	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	E	0.3811812664272305	0.0	39.49438407113773	138.98876814227546	43.670410619241515	0.0	0.6835205309620757	
55	2	true	Low	false	WhiteOnly	51497	20154	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	G	0.6145445198431797	0.0	48.40037975256303	156.80075950512605	37.733080164957975	0.0	0.38665400824789886	
56	2	false	Low	true	Other	69098	25361	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	2	false	G	0.3612826237721085	0.0	45.486810217388516	150.97362043477705	39.67545985507432	0.0	0.48377299275371605	
57	2	false	HighSchoolOrCollege	true	WhiteOnly	13077	14277	true	0.5672894400869586	[0.5,0.8,0.3,0.3,0.3]	2	false	C	0.34311584828652564	0.0	37.307378317988295	134.6147566359766	45.12841445467447	0.0	0.7564207227337235	
58	2	false	Graduate	true	BlackOnly	23241	23261	true	0.8195081705943794	[0.5,0.8,0.8,0.3,0.8]	2	false	I	0.11910661131099887	0.0	44.47035180056062	148.94070360112124	40.35309879962625	0.0	0.5176549399813125	
59	2	false	HighSchoolOrCollege	false	Other	74210	41632	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	2	false	C	0.3408045680186791	0.0	49.31535991915135	158.6307198383027	37.12309338723244	0.0	0.35615466936162177	
60	2	true	HighSchoolOrCollege	false	Other	55460	55472	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	H	0.19616933635714184	0.0	41.69935259069963	143.39870518139927	42.20043160620025	0.0	0.6100215803100124	
61	2	false	Low	true	AsianOnly	23725	84364	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	2	false	I	0.8688921654242557	0.0	51.412817975384435	162.82563595076886	35.72478801641038	0.0	0.28623940082051885	
62	2	true	HighSchoolOrCollege	true	WhiteOnly	38572	20704	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	I	0.27958344984153827	0.0	44.32652118497314	148.6530423699463	40.448985876684574	0.0	0.5224492938342287	
63	2	false	HighSchoolOrCollege	false	Other	16056	54083	true	0.8195081705943794	[0.5,0.8,0.3,0.3,0.8]	2	false	H	0.030828290173320005	0.0	50.773469021293785	161.54693804258758	36.151020652470805	0.0	0.30755103262354044	
64	2	false	HighSchoolOrCollege	true	WhiteOnly	93308	544	true	0.7640915534102196	[0.5,0.8,0.3,0.8,0.3]	2	false	A	0.012016568929002935	0.0	49.5	159.0	37.0	0.0	0.35	
65	2	true	Low	false	WhiteOnly	59704	17464	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	I	0.441636871864585	0.0	46.78360302375891	153.5672060475178	38.81093131749406	0.0	0.4405465658747031	
66	2	true	Bachelors	false	Other	63622	9456	true	0.6653085272175364	[0.5,0.5,0.8,0.3,0.8]	2	false	D	0.4197974966591065	0.0	41.73604055127073	143.47208110254147	42.17597296581951	0.0	0.6087986482909755	
67	2	true	Graduate	true	Other	96953	53181	true	0.8308249267265675	[0.5,0.5,0.8,0.8,0.8]	2	false	D	0.2701020441169074	0.0	46.27755280106545	152.55510560213088	39.14829813262304	0.0	0.4574149066311518	
68	2	false	HighSchoolOrCollege	true	WhiteOnly	971	46708	true	0.5672894400869586	[0.5,0.8,0.3,0.3,0.3]	2	false	J	0.4676558843541798	0.0	52.28814401556953	164.57628803113906	35.14123732295365	0.0	0.25706186614768245	
69	2	true	HighSchoolOrCollege	true	WhiteOnly	39383	21486	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	C	0.08067848316586712	0.0	47.54431771903504	155.08863543807007	38.303788187309976	0.0	0.41518940936549864	
70	2	true	HighSchoolOrCollege	true	AsianOnly	29885	15537	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	C	0.4011027077299104	0.0	38.890503946381656	137.7810078927633	44.07299736907889	0.0	0.7036498684539447	
71	2	true	Bachelors	true	Other	36268	10282	true	0.6653085272175364	[0.5,0.5,0.8,0.3,0.8]	2	false	C	0.09492425750066791	0.0	36.78879983894467	133.57759967788934	45.474133440703554	0.0	0.7737066720351777	
72	2	false	HighSchoolOrCollege	true	AmerIndianOnly	42981	17011	true	0.9419085518138751	[0.8,0.8,0.3,0.3,0.8]	2	false	F	0.8396358100126011	0.0	38.67493750314098	137.34987500628196	44.216708331239346	0.0	0.7108354165619671	
73	2	true	HighSchoolOrCollege	false	WhiteOnly	61553	59266	true	0.36466425585868595	[0.5,0.5,0.3,0.3,0.3]	2	false	C	0.31164709258286627	0.0	41.960367913204166	143.92073582640833	42.02642139119722	0.0	0.601321069559861	
74	2	true	HighSchoolOrCollege	true	Plus2Races	74315	18076	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	2	false	I	0.15350177499621853	0.0	53.19478166684892	166.38956333369782	34.53681222210072	0.0	0.22684061110503612	
75	2	true	HighSchoolOrCollege	true	Other	14706	52809	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	I	0.2508469518803005	0.0	41.17029295824719	142.34058591649438	42.55313802783521	0.0	0.6276569013917604	
76	2	true	HighSchoolOrCollege	true	Plus2Races	13871	70406	true	0.6653085272175364	[0.5,0.5,0.3,0.3,0.8]	2	false	I	0.7444710135319924	0.0	40.726351475849015	141.45270295169803	42.84909901610065	0.0	0.6424549508050327	
77	2	true	HighSchoolOrCollege	false	WhiteOnly	55593	78603	true	0.6720990985064282	[0.8,0.5,0.3,0.3,0.3]	1	false	I	0.1118067289700525	0.0	45.58355999477425	151.1671199895485	39.61096000348383	0.0	0.4805480001741917	
78	2	true	HighSchoolOrCollege	true	Other	41170	59977	true	0.6653085272175364	[0.3,0.5,0.3,0.3,0.8]	1	false	F	0.3952314347004001	0.0	47.06522555418676	154.1304511083735	38.62318296387549	0.0	0.4311591481937747	
79	2	true	HighSchoolOrCollege	true	WhiteOnly	73582	43306	true	0.586439749074951	[0.5,0.5,0.3,0.8,0.3]	1	false	F	0.7993289444337524	0.0	49.42225421872142	158.84450843744284	37.05183052085239	0.0	0.35259152604261945	
