agentId	originRegionId	isMale	educationLevel	isHispanic	race	indiv_census_income	hh_census_income	householdInProvince	reportingRate	reportingRates_Single	family:numberOfPeople	family:haveKids	interest	joviality	jovialityBase	foodNeed:fullnessReachTimeInMinutes	foodNeed:keepingFullTimeInMinutes	foodNeed:hungryTreshold	foodNeed:starvingTreshold	foodNeed:appetite	
0	1	true	Low	false	AsianOnly	57677	58719	true	0.8765234960785928	[0.8,0.2,0.2,0.8]	3	true	D	0.9686129720190403	0.0	49.5	159.0	37.0	0.0	0.35	
1	1	false	Low	true	WhiteOnly	20223	13503	true	0.8239978151504338	[0.8,0.8,0.2,0.2]	3	true	E	0.129118353390544	0.0	42.94611627589885	145.8922325517977	41.36925581606743	0.0	0.5684627908033716	
2	1	false	Bachelors	false	Plus2Races	239336	31198	true	0.9181492193647616	[0.2,0.8,0.8,0.8]	3	true	A	0.1441686606903444	0.0	37.57848989741683	135.15697979483366	44.94767340172211	0.0	0.7473836700861055	
3	1	true	Low	false	WhiteOnly	51517	100105	true	0.6720990985064282	[0.8,0.2,0.2,0.2]	3	true	J	0.15372826606995693	0.0	43.47209401816263	146.94418803632527	41.01860398789158	0.0	0.550930199394579	
4	1	false	Low	true	AmerIndianOnly	71669	81267	true	0.9181492193647616	[0.2,0.8,0.8,0.8]	3	true	G	0.5621124407516034	0.0	47.09395354172541	154.18790708345082	38.604030972183054	0.0	0.43020154860915283	
5	1	false	Low	false	AsianOnly	71565	64605	true	0.97564431879636	[0.8,0.8,0.8,0.8]	3	true	H	0.17376926707719575	0.0	43.56056342434658	147.12112684869317	40.95962438376894	0.0	0.5479812191884472	
6	1	false	Bachelors	false	Other	65151	102286	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	D	0.20925151082103355	0.0	39.38280721165785	138.7656144233157	43.744795192228096	0.0	0.6872397596114049	
7	1	false	HighSchoolOrCollege	false	AsianOnly	68862	62141	true	0.9419085518138751	[0.8,0.8,0.2,0.8]	3	true	B	0.2204526333173501	0.0	51.430723922047775	162.86144784409555	35.71285071863481	0.0	0.28564253593174077	
8	1	true	Low	true	AsianOnly	67478	112913	true	0.6653085272175364	[0.2,0.2,0.2,0.8]	3	true	J	0.22552633518177834	0.0	39.82691091103957	139.65382182207912	43.448726059306956	0.0	0.6724363029653477	
9	1	true	Low	false	WhiteOnly	335941	18098	true	0.8350897188022837	[0.8,0.2,0.8,0.2]	3	true	C	0.4163366807913087	0.0	48.25868963257285	156.5173792651457	37.82754024495143	0.0	0.39137701224757143	
10	1	false	Low	false	Other	28315	57860	true	0.9419085518138751	[0.8,0.8,0.2,0.8]	3	true	F	0.7325179066118412	0.0	49.56241108121209	159.12482216242418	36.95839261252527	0.0	0.34791963062626374	
11	1	false	Low	false	AsianOnly	54362	78560	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	G	0.714408189702996	0.0	51.46787170764553	162.93574341529106	35.688085528236314	0.0	0.28440427641181565	
12	1	false	Low	false	Plus2Races	54443	14232	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	I	0.2016076826898091	0.0	40.18514520532521	140.37029041065043	43.20990319644986	0.0	0.6604951598224928	
13	1	true	Low	false	AsianOnly	82943	93785	true	0.8308249267265675	[0.2,0.2,0.8,0.8]	3	true	B	0.06925786944851942	0.0	38.01490148123929	136.02980296247858	44.65673234584047	0.0	0.7328366172920235	
14	1	false	Graduate	false	AsianOnly	70389	3847	true	0.9181492193647616	[0.2,0.8,0.8,0.8]	3	true	D	0.43461851484658065	0.0	38.40603676345696	136.81207352691393	44.39597549102869	0.0	0.7197987745514347	
15	1	true	Bachelors	false	WhiteOnly	36782	26477	true	0.36466425585868595	[0.2,0.2,0.2,0.2]	3	true	F	0.17166445950670284	0.0	46.536088418332966	153.07217683666593	38.97594105444469	0.0	0.44879705272223436	
16	1	true	HighSchoolOrCollege	false	AsianOnly	41562	43017	true	0.6653085272175364	[0.2,0.2,0.2,0.8]	3	true	E	0.7373736438827516	0.0	37.36635766775218	134.73271533550437	45.08909488816521	0.0	0.7544547444082604	
17	1	true	Low	true	BlackOnly	43357	27711	true	0.8765234960785928	[0.8,0.2,0.2,0.8]	3	true	I	0.15123721047348693	0.0	46.454088378249494	152.908176756499	39.03060774783367	0.0	0.4515303873916834	
18	1	true	Low	false	AsianOnly	421727	8627	true	0.8308249267265675	[0.2,0.2,0.8,0.8]	3	true	E	0.2806485759255106	0.0	50.945500354547335	161.89100070909467	36.03633309696844	0.0	0.3018166548484222	
19	1	true	Low	true	AsianOnly	60367	115522	true	0.6653085272175364	[0.2,0.2,0.2,0.8]	3	true	A	0.6613583929157697	0.0	47.12949918588548	154.25899837177096	38.58033387607635	0.0	0.4290166938038174	
20	1	true	Low	false	WhiteOnly	51497	20154	true	0.36466425585868595	[0.2,0.2,0.2,0.2]	3	true	D	0.5809829102390975	0.0	45.05524220246882	150.11048440493764	39.96317186502079	0.0	0.4981585932510395	
21	1	false	Low	false	PacIslandOnly	69098	25361	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	J	0.9564934476404465	0.0	48.19983602171108	156.39967204342216	37.86677598552595	0.0	0.3933387992762973	
22	1	false	Bachelors	true	WhiteOnly	28077	14277	true	0.5672894400869586	[0.2,0.8,0.2,0.2]	3	true	C	0.10645548963490736	0.0	51.09466172767222	162.18932345534444	35.936892181551855	0.0	0.29684460907759275	
23	1	false	Graduate	false	AmerIndianOnly	23241	23261	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	G	0.6599626925972396	0.0	36.87097708074806	133.74195416149612	45.419348612834625	0.0	0.7709674306417311	
24	1	false	HighSchoolOrCollege	false	AsianOnly	74210	41632	true	0.97564431879636	[0.8,0.8,0.8,0.8]	3	true	G	0.547528419827021	0.0	48.12604632616867	156.25209265233735	37.915969115887556	0.0	0.39579845579437767	
25	1	true	HighSchoolOrCollege	false	Other	55460	65472	true	0.6653085272175364	[0.2,0.2,0.2,0.8]	3	true	J	0.17328780636913677	0.0	42.96895896476826	145.93791792953652	41.354027356821156	0.0	0.5677013678410578	
26	1	false	Low	true	AsianOnly	38725	124364	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	3	true	C	0.1457442640346518	0.0	38.05908904331804	136.11817808663608	44.62727397112131	0.0	0.7313636985560654	
27	1	true	Low	true	WhiteOnly	63572	20704	true	0.36466425585868595	[0.2,0.2,0.2,0.2]	2	false	B	0.8082201444198596	0.0	41.49808947675152	142.99617895350303	42.33460701549899	0.0	0.6167303507749493	
28	1	false	Low	false	Other	31056	94083	true	0.8195081705943794	[0.2,0.8,0.2,0.8]	2	false	F	0.9664897928684827	0.0	40.0339861333952	140.0679722667904	43.310675911069865	0.0	0.6655337955534931	
29	1	false	HighSchoolOrCollege	false	WhiteOnly	93308	544	true	0.7640915534102196	[0.2,0.8,0.8,0.2]	2	false	H	0.08286076591618763	0.0	47.695404484690975	155.39080896938194	38.20306367687269	0.0	0.4101531838436342	
30	1	true	Low	false	WhiteOnly	59704	17464	true	0.36466425585868595	[0.2,0.2,0.2,0.2]	2	false	B	0.41401791831446777	0.0	52.499436835108654	164.9988736702173	35.0003754432609	0.0	0.25001877216304497	
31	1	true	Bachelors	false	Other	63622	9456	true	0.6653085272175364	[0.2,0.2,0.2,0.8]	2	false	E	0.5938756117129782	0.0	47.311380946228084	154.62276189245617	38.459079369181275	0.0	0.42295396845906386	
32	1	true	Graduate	true	Other	96953	83181	true	0.8308249267265675	[0.2,0.2,0.8,0.8]	2	false	F	0.8392895020474138	0.0	47.22151804454592	154.44303608909183	38.518987970302724	0.0	0.42594939851513625	
33	1	false	Low	true	WhiteOnly	10971	76708	true	0.5672894400869586	[0.2,0.8,0.2,0.2]	2	false	C	0.12619866422407844	0.0	45.07697594745221	150.15395189490442	39.94868270169852	0.0	0.4974341350849262	
34	1	true	HighSchoolOrCollege	true	WhiteOnly	64383	21486	true	0.36466425585868595	[0.2,0.2,0.2,0.2]	2	false	D	0.3224871068835633	0.0	37.507803294577755	135.0156065891555	44.99479780361483	0.0	0.7497398901807415	
